年度/Year,月份/Month,能源別/Energy Type,發電站名稱/Station Name,發電量(度)/Power Generation(kWh)
2024,01,陸域風力/Onshore Wind,石門風力/Shimen Wind Power,543699
2024,01,陸域風力/Onshore Wind,林口風力/Linkou Wind Power,1208274
2024,01,陸域風力/Onshore Wind,蘆竹風力/Luzhu Wind Power,2038141
2024,01,陸域風力/Onshore Wind,觀園風力/Guanyuan Wind Power,12042746
2024,01,陸域風力/Onshore Wind,大潭風力/Datan Wind Power,3585134
2024,01,陸域風力/Onshore Wind,新竹香山風力/Hsinchu Xiangshan Wind Power,1637621
2024,01,陸域風力/Onshore Wind,台中港區風力/Taichung Harbor Wind Power,9484480
2024,01,陸域風力/Onshore Wind,台中電廠風力/Taichung Power Plant Wind Power,469518
2024,01,陸域風力/Onshore Wind,彰工風力Changgong Wind Power,25551421
2024,01,陸域風力/Onshore Wind,彰化王功風力/Changhua Wanggong Wind Power,7832455
2024,01,陸域風力/Onshore Wind,彰化永興風力/Changhua Yongxing Wind Power,3211223
2024,01,陸域風力/Onshore Wind,雲林麥寮風力/Yunlin Mailiao Wind Power,7718339
2024,01,陸域風力/Onshore Wind,雲林四湖風力/Yunlin Sihu Wind Power,4412170
2024,01,陸域風力/Onshore Wind,恆春風力/Hengchun Wind Power,1502963
2024,01,陸域風力/Onshore Wind,中屯風力/Zhongtun Wind Power,-
2024,01,陸域風力/Onshore Wind,澎湖湖西風力/Penghu Huxi Wind Power,1661796
2024,01,陸域風力/Onshore Wind,金沙風力/Jinsha Wind Power,1266949
2024,01,陸域風力/Onshore Wind,澎湖龍門風力/Penghu Longmen Wind Power,1158730
2024,01,離岸風力/Offshore Wind,離岸一期風力/Offshore Phase1 Wind Power,40230915
2024,01,太陽能/Solar,大潭電廠太陽光電/Datang Power Plant Solars,91720
2024,01,太陽能/Solar,北部儲運中心太陽光電/Northern Storage and Transportation Center Solars,59210
2024,01,太陽能/Solar,龍潭E/S太陽光電/Longtan E/S Solars,13299
2024,01,太陽能/Solar,竹工E/S太陽光電/Zhugong E/S Solars,18268
2024,01,太陽能/Solar,台中電廠太陽光電/Taichung Power Plant Solars,301494
2024,01,太陽能/Solar,台中龍井太陽光電/Taichung Longjing Solars,526593
2024,01,太陽能/Solar,中科E/S太陽光電/Zhongke E/S Solars,19151
2024,01,太陽能/Solar,彰化彰濱太陽光電/Changhua Changbin Solars,8070336
2024,01,太陽能/Solar,彰林E/S太陽光電/Changlin E/S Solars,27659
2024,01,太陽能/Solar,南投大彎太陽光電/Nantou Dawan Solars,80870
2024,01,太陽能/Solar,台南鹽田太陽光電/Tainan salt field Solars,18658621
2024,01,太陽能/Solar,台南七股太陽光電/Tainan Qigu Solars,630327
2024,01,太陽能/Solar,興達電廠太陽光電/Xingda Power Plant Solars,177490
2024,01,太陽能/Solar,永安鹽灘地太陽光電/Yongan Salt Flats Solars,378170
2024,01,太陽能/Solar,燕巢倉庫太陽光電/Yanchao Warehouse Solars,52843
2024,01,太陽能/Solar,高雄E/S太陽光電/Kaohsiung E/S Solars,72157
2024,01,太陽能/Solar,高雄保寧太陽光電/Kaohsiung Baoning Solars,62871
2024,01,太陽能/Solar,鳳山水庫太陽光電/Fengshan Reservoir Solars,194643
2024,01,太陽能/Solar,核三廠太陽光電/3rd Nuclear Power Plants Solars,117919
2024,01,太陽能/Solar,澎湖七美太陽光電/Penghu Qimei Solars,6249
2024,01,太陽能/Solar,澎湖尖山太陽光電/Penghu jianshan Solars,71223
2024,01,太陽能/Solar,金門金沙太陽光電/Kinmen Jinsha Solars,44059
2024,01,太陽能/Solar,金門塔山太陽光電/Kinmen Tashan Solars,20527
2024,01,太陽能/Solar,金門鵲山太陽光電/Kinmen Queshan Solars,4275
2024,01,太陽能/Solar,馬祖珠山太陽光電/Mazu Zhushan Solars,5221
2024,01,太陽能/Solar,"淡水3.5萬噸配水池太陽光電/Danshui Distribution Reservoir(35,000 tons) Solar",21161
2024,01,太陽能/Solar,中大D/S太陽光電/Zhongda D/S Solars,2203
2024,01,太陽能/Solar,平鎮淨水場太陽光電/Pingzhen Water Treatment Plant Solars,85148
2024,01,太陽能/Solar,大湳淨水場太陽光電/Danan Water Treatment Plant Solars,62033
2024,01,太陽能/Solar,龜山加壓站太陽光電/Guishan Booster Station Solars,21488
2024,01,太陽能/Solar,龍潭淨水場太陽光電/Longtan Water Treatment Plant Solars,27759
2024,01,太陽能/Solar,卓蘭會館太陽光電/Zhuolan Hostel Solars,3560
2024,01,太陽能/Solar,東興淨水場太陽光電/Dongxing Water Treatment Plant Solars,60818
2024,01,太陽能/Solar,后里E/S太陽光電/Houli E/S Solars,9339
2024,01,太陽能/Solar,中部儲運中心太陽光電/Central Storage and Transportation Center Solars,6900
2024,01,太陽能/Solar,東勢新伯公太陽光電/Dongshi Xinbogong Solars,67111
2024,01,太陽能/Solar,嘉義民雄太陽光電/Jiayi Minxiong Solars,3781
2024,01,太陽能/Solar,嘉義分所太陽光電/Chiayi Agricultural Experiment Branch Solars,25146
2024,01,太陽能/Solar,義竹工作站太陽光電/Yizhu Workstation Solars,31243
2024,01,太陽能/Solar,路北E/S太陽光電/Lubei E/S Solars,4621
2024,01,太陽能/Solar,蘭嶼電廠太陽光電/Lanyu Power Plant Solars,1628
2024,01,太陽能/Solar,蘭嶼貯存場太陽光電/Lanyu Storage Unit Solars,2366
2024,01,地熱/Geothermal,仁澤地熱/Renze Geothermal,323485
2024,02,陸域風力/Onshore Wind,石門風力/Shimen Wind Power,329540
2024,02,陸域風力/Onshore Wind,林口風力/Linkou Wind Power,1072848
2024,02,陸域風力/Onshore Wind,蘆竹風力/Luzhu Wind Power,1738015
2024,02,陸域風力/Onshore Wind,觀園風力/Guanyuan Wind Power,10514249
2024,02,陸域風力/Onshore Wind,大潭風力/Datan Wind Power,2835612
2024,02,陸域風力/Onshore Wind,新竹香山風力/Hsinchu Xiangshan Wind Power,1310492
2024,02,陸域風力/Onshore Wind,台中港區風力/Taichung Harbor Wind Power,8439689
2024,02,陸域風力/Onshore Wind,台中電廠風力/Taichung Power Plant Wind Power,395868
2024,02,陸域風力/Onshore Wind,彰工風力Changgong Wind Power,19177118
2024,02,陸域風力/Onshore Wind,彰化王功風力/Changhua Wanggong Wind Power,6405498
2024,02,陸域風力/Onshore Wind,彰化永興風力/Changhua Yongxing Wind Power,2765752
2024,02,陸域風力/Onshore Wind,雲林麥寮風力/Yunlin Mailiao Wind Power,4891931
2024,02,陸域風力/Onshore Wind,雲林四湖風力/Yunlin Sihu Wind Power,3487020
2024,02,陸域風力/Onshore Wind,恆春風力/Hengchun Wind Power,1100968
2024,02,陸域風力/Onshore Wind,中屯風力/Zhongtun Wind Power,-
2024,02,陸域風力/Onshore Wind,澎湖湖西風力/Penghu Huxi Wind Power,1419044
2024,02,陸域風力/Onshore Wind,金沙風力/Jinsha Wind Power,1168364
2024,02,陸域風力/Onshore Wind,澎湖龍門風力/Penghu Longmen Wind Power,-
2024,02,離岸風力/Offshore Wind,離岸一期風力/Offshore Phase1 Wind Power,28970933
2024,02,太陽能/Solar,大潭電廠太陽光電/Datang Power Plant Solars,87999
2024,02,太陽能/Solar,北部儲運中心太陽光電/Northern Storage and Transportation Center Solars,62232
2024,02,太陽能/Solar,龍潭E/S太陽光電/Longtan E/S Solars,12193
2024,02,太陽能/Solar,竹工E/S太陽光電/Zhugong E/S Solars,17687
2024,02,太陽能/Solar,台中電廠太陽光電/Taichung Power Plant Solars,329565
2024,02,太陽能/Solar,台中龍井太陽光電/Taichung Longjing Solars,593438
2024,02,太陽能/Solar,中科E/S太陽光電/Zhongke E/S Solars,20653
2024,02,太陽能/Solar,彰化彰濱太陽光電/Changhua Changbin Solars,9270148
2024,02,太陽能/Solar,彰林E/S太陽光電/Changlin E/S Solars,28035
2024,02,太陽能/Solar,南投大彎太陽光電/Nantou Dawan Solars,82448
2024,02,太陽能/Solar,台南鹽田太陽光電/Tainan salt field Solars,19162662
2024,02,太陽能/Solar,台南七股太陽光電/Tainan Qigu Solars,664015
2024,02,太陽能/Solar,興達電廠太陽光電/Xingda Power Plant Solars,182064
2024,02,太陽能/Solar,永安鹽灘地太陽光電/Yongan Salt Flats Solars,385602
2024,02,太陽能/Solar,燕巢倉庫太陽光電/Yanchao Warehouse Solars,56228
2024,02,太陽能/Solar,高雄E/S太陽光電/Kaohsiung E/S Solars,79251
2024,02,太陽能/Solar,高雄保寧太陽光電/Kaohsiung Baoning Solars,67754
2024,02,太陽能/Solar,鳳山水庫太陽光電/Fengshan Reservoir Solars,215160
2024,02,太陽能/Solar,核三廠太陽光電/3rd Nuclear Power Plants Solars,131740
2024,02,太陽能/Solar,澎湖七美太陽光電/Penghu Qimei Solars,20449
2024,02,太陽能/Solar,澎湖尖山太陽光電/Penghu jianshan Solars,63233
2024,02,太陽能/Solar,金門金沙太陽光電/Kinmen Jinsha Solars,42552
2024,02,太陽能/Solar,金門塔山太陽光電/Kinmen Tashan Solars,20742
2024,02,太陽能/Solar,金門鵲山太陽光電/Kinmen Queshan Solars,4286
2024,02,太陽能/Solar,馬祖珠山太陽光電/Mazu Zhushan Solars,4700
2024,02,太陽能/Solar,"淡水3.5萬噸配水池太陽光電/Danshui Distribution Reservoir(35,000 tons) Solar",23970
2024,02,太陽能/Solar,中大D/S太陽光電/Zhongda D/S Solars,2122
2024,02,太陽能/Solar,平鎮淨水場太陽光電/Pingzhen Water Treatment Plant Solars,80595
2024,02,太陽能/Solar,大湳淨水場太陽光電/Danan Water Treatment Plant Solars,61540
2024,02,太陽能/Solar,龜山加壓站太陽光電/Guishan Booster Station Solars,23532
2024,02,太陽能/Solar,龍潭淨水場太陽光電/Longtan Water Treatment Plant Solars,25124
2024,02,太陽能/Solar,卓蘭會館太陽光電/Zhuolan Hostel Solars,3497
2024,02,太陽能/Solar,東興淨水場太陽光電/Dongxing Water Treatment Plant Solars,59085
2024,02,太陽能/Solar,后里E/S太陽光電/Houli E/S Solars,6316
2024,02,太陽能/Solar,中部儲運中心太陽光電/Central Storage and Transportation Center Solars,7456
2024,02,太陽能/Solar,東勢新伯公太陽光電/Dongshi Xinbogong Solars,71269
2024,02,太陽能/Solar,嘉義民雄太陽光電/Jiayi Minxiong Solars,4110
2024,02,太陽能/Solar,嘉義分所太陽光電/Chiayi Agricultural Experiment Branch Solars,27266
2024,02,太陽能/Solar,義竹工作站太陽光電/Yizhu Workstation Solars,32950
2024,02,太陽能/Solar,路北E/S太陽光電/Lubei E/S Solars,4995
2024,02,太陽能/Solar,蘭嶼電廠太陽光電/Lanyu Power Plant Solars,2826
2024,02,太陽能/Solar,蘭嶼貯存場太陽光電/Lanyu Storage Unit Solars,3370
2024,02,地熱/Geothermal,仁澤地熱/Renze Geothermal,318866
2024,03,陸域風力/Onshore Wind,石門風力/Shimen Wind Power,301625
2024,03,陸域風力/Onshore Wind,林口風力/Linkou Wind Power,875438
2024,03,陸域風力/Onshore Wind,蘆竹風力/Luzhu Wind Power,1434710
2024,03,陸域風力/Onshore Wind,觀園風力/Guanyuan Wind Power,8312879
2024,03,陸域風力/Onshore Wind,大潭風力/Datan Wind Power,2645095
2024,03,陸域風力/Onshore Wind,新竹香山風力/Hsinchu Xiangshan Wind Power,1371097
2024,03,陸域風力/Onshore Wind,台中港區風力/Taichung Harbor Wind Power,6984966
2024,03,陸域風力/Onshore Wind,台中電廠風力/Taichung Power Plant Wind Power,307214
2024,03,陸域風力/Onshore Wind,彰工風力Changgong Wind Power,15669786
2024,03,陸域風力/Onshore Wind,彰化王功風力/Changhua Wanggong Wind Power,5226624
2024,03,陸域風力/Onshore Wind,彰化永興風力/Changhua Yongxing Wind Power,2415232
2024,03,陸域風力/Onshore Wind,雲林麥寮風力/Yunlin Mailiao Wind Power,4052871
2024,03,陸域風力/Onshore Wind,雲林四湖風力/Yunlin Sihu Wind Power,3407236
2024,03,陸域風力/Onshore Wind,恆春風力/Hengchun Wind Power,1441289
2024,03,陸域風力/Onshore Wind,中屯風力/Zhongtun Wind Power,-
2024,03,陸域風力/Onshore Wind,澎湖湖西風力/Penghu Huxi Wind Power,1229029
2024,03,陸域風力/Onshore Wind,金沙風力/Jinsha Wind Power,832483
2024,03,陸域風力/Onshore Wind,澎湖龍門風力/Penghu Longmen Wind Power,525712
2024,03,離岸風力/Offshore Wind,離岸一期風力/Offshore Phase1 Wind Power,31574766
2024,03,太陽能/Solar,大潭電廠太陽光電/Datang Power Plant Solars,113169
2024,03,太陽能/Solar,北部儲運中心太陽光電/Northern Storage and Transportation Center Solars,81351
2024,03,太陽能/Solar,龍潭E/S太陽光電/Longtan E/S Solars,13971
2024,03,太陽能/Solar,竹工E/S太陽光電/Zhugong E/S Solars,21469
2024,03,太陽能/Solar,台中電廠太陽光電/Taichung Power Plant Solars,329976
2024,03,太陽能/Solar,台中龍井太陽光電/Taichung Longjing Solars,591382
2024,03,太陽能/Solar,中科E/S太陽光電/Zhongke E/S Solars,20700
2024,03,太陽能/Solar,彰化彰濱太陽光電/Changhua Changbin Solars,9983554
2024,03,太陽能/Solar,彰林E/S太陽光電/Changlin E/S Solars,28650
2024,03,太陽能/Solar,南投大彎太陽光電/Nantou Dawan Solars,88016
2024,03,太陽能/Solar,台南鹽田太陽光電/Tainan salt field Solars,19641588
2024,03,太陽能/Solar,台南七股太陽光電/Tainan Qigu Solars,650148
2024,03,太陽能/Solar,興達電廠太陽光電/Xingda Power Plant Solars,181322
2024,03,太陽能/Solar,永安鹽灘地太陽光電/Yongan Salt Flats Solars,388535
2024,03,太陽能/Solar,燕巢倉庫太陽光電/Yanchao Warehouse Solars,55866
2024,03,太陽能/Solar,高雄E/S太陽光電/Kaohsiung E/S Solars,82865
2024,03,太陽能/Solar,高雄保寧太陽光電/Kaohsiung Baoning Solars,70632
2024,03,太陽能/Solar,鳳山水庫太陽光電/Fengshan Reservoir Solars,230018
2024,03,太陽能/Solar,核三廠太陽光電/3rd Nuclear Power Plants Solars,139876
2024,03,太陽能/Solar,澎湖七美太陽光電/Penghu Qimei Solars,26469
2024,03,太陽能/Solar,澎湖尖山太陽光電/Penghu jianshan Solars,92385
2024,03,太陽能/Solar,金門金沙太陽光電/Kinmen Jinsha Solars,43253
2024,03,太陽能/Solar,金門塔山太陽光電/Kinmen Tashan Solars,22247
2024,03,太陽能/Solar,金門鵲山太陽光電/Kinmen Queshan Solars,4697
2024,03,太陽能/Solar,馬祖珠山太陽光電/Mazu Zhushan Solars,6219
2024,03,太陽能/Solar,"淡水3.5萬噸配水池太陽光電/Danshui Distribution Reservoir(35,000 tons) Solar",27327
2024,03,太陽能/Solar,中大D/S太陽光電/Zhongda D/S Solars,2465
